Artist,Title,Lyrics
Lana Del Rey,The greatest,"I miss Long Beach and I miss you, babe
I miss dancing with you the most of all
I miss the bar where the Beach Boys would go
Dennis' last stop before Kokomo

Those nights were on fire
We couldn't get higher
We didn't know that we had it all
But nobody warns you before the fall

And I'm wasted
Don't leave‚ I just need a wake-up call
I'm facing the greatest
The greatest loss of them all
The culture is lit and I had a ball
I guess I'm signing off after all


I miss New York and I miss the music
Me and my friends‚ we miss rock 'n' roll
I want sh*t to feel just like it used to
When‚ baby, I was doing nothin' the most of all
The culture is lit, and if this is it‚ I had a ball
I guess that I'm burned out after all

I'm wasted
Don't leave, I just need a wake-up call
I'm facing the greatest
The greatest loss of them all
The culture is lit and I had a ball
I guess that I'm burned out after all

If this is it, I'm signing off
Miss doing nothin' the most of all
Hawaii just missed that fireball
L.A. is in flames‚ it's getting hot
Kanye West is blond and gone
""Life on Mars?"" ain't just a song
I hope the live stream's almost on61EmbedShare URLCopyEmbedCopy"
Lana Del Rey,Happiness is a butterfly,"Do you want me or do you not?
I heard one thing, now I'm hearing another
Dropped a pin to my parking spot
The bar was hot, it's 2 AM, it feels like summer

Happiness is a butterfly
Try to catch it, like, every night
It escapes from my hands into moonlight
Every day is a lullaby
Hum it on the phone, like, every night
Sing it for my babies on the tour life, ah

If he's a serial killer, then what's the worst
That can happen to a girl who's already hurt?
I'm already hurt
If he's as bad as they say, then I guess I'm cursed
Looking into his eyes, I think he's already hurt
He's already hurt

I said, ""Don't be a jerk, don't call me a taxi""
Sitting in your sweatshirt, crying in the backseat, ooh
I just wanna dance with you
Hollywood and Vine, Black Rabbit in the alley
I just wanna hold you tight down the avenue
I just wanna dance with you
I just wanna dance with you
Baby, I just wanna dance (Dance)
With you (Dance)
Baby, I just wanna dance (Dance)
With you

Left the canyon, drove to the club
I was one thing, now I'm being another
Laurel down to Sunset in the truck
I'll pick you up if you're in town on the corner, ah

Happiness is a butterfly
We should catch it while dancing
I lose myself in the music, baby
Every day is a lullaby
Try to catch it like lightning
I sing it into my music, I'm crazy

If he's a serial killer, then what's the worst
That can happen to a girl who's already hurt?
I'm already hurt
If he's as bad as they say, then I guess I'm cursed
Looking into his eyes, I think he's already hurt
He's already hurt
I said, ""Don't be a jerk, don't call me a taxi""
Sitting in your sweatshirt, crying in the backseat, ooh
I just wanna dance with you
Hollywood and Vine, Black Rabbit in the alley
I just wanna hold you tight down the avenue
I just wanna dance with you
I just wanna dance with you

Baby, I just wanna dance (Dance)
With you (Dance)
Baby, I just wanna dance (Dance)
With you64EmbedShare URLCopyEmbedCopy"
Lana Del Rey,Cola,"My p*ssy tastes like Pepsi cola
My eyes are wide like cherry pies
I gots a taste for men who are older
It's always been so it's no surprise

Ah, he's in the sky with diamonds and he's making me crazy
(I come alive, alive)
All he wants to do is party with his pretty baby

Come on, baby, let's ride
We can escape to the great sunshine
I know your wife and she wouldn't mind
We made it out to the other side
We made it out to the other side
We made it out to the other side

Come on, come on
Come on, come on, come on, baby
Oh, oh yeah

I fall asleep in an American flag
I wear my diamonds on Skid Row
I pledge allegiance to my dad
For teaching me everything he knows
Ah, he's in the sky with diamonds and he's making me crazy
(I come alive, alive)
All he wants to do is party with his pretty baby

Come on, baby, let's ride
We can escape to the great sunshine
I know your wife and she wouldn't mind
We made it out to the other side
We made it out to the other side
We made it out to the other side

Drugs, suck it up, like vanilla icys
Don't treat me rough, treat me really niceys
Decorate my neck, diamantes ices
Why, come on, come on
(Ooh-ooh, ooh-ooh, ooh-ooh, ooh yeah)

Come on, baby, let's ride
We can escape to the great sunshine
I know your wife and she wouldn't mind
We made it out to the other side
Come on, baby, let's ride
We can escape to the great sunshine
We made it out to the other side
We made it out to the other side
Come on, come on, come on, baby
Come on, come on, come on, baby
Oh, oh
My p*ssy tastes like Pepsi cola
Ooh, ahh
My p*ssy tastes like Pepsi cola
Ooh-ooh, ooh-ooh, ooh-ooh
My p*ssy tastes like Pepsi cola
Ooh, oh yeah89EmbedShare URLCopyEmbedCopy"
Lana Del Rey,Get Free,"Finally
I'm crossing the threshold
From the ordinary world
To the reveal of my heart
Undoubtedly
That will for certain
Take the dead out of the sea
And the darkness from the arts

This is my commitment
My modern manifesto
I'm doin' it for all of us
Who never got the chance
For… and for… (Shut up, shut up)
And all my birds of paradise (Shut up, shut up)
Who never got to fly at night (Shut up, shut up)
'Cause they were caught up in the dance

Sometimes it feels like I've got a war in my mind
I want to get off, but I keep ridin' the ride
I never really noticed that I had to decide
To play someone's game or live my own life
And now I do
I wanna move
Out of the black (Out of the black)
Into the blue (Into the blue)
Finally
Gone is the burden
Of the Crowley way of being
That comes from energies combined
Like my part was I
Was not discernin'
And you, as we found out
Were not in your right mind

There's no more chasing rainbows
And hoping for an end to them
Their arches are illusions
Solid at first glance
But then you try to touch them (Touch, touch)
There's nothing to hold on to (Hold, hold)
The colors used to lure you in (Shut up, shut up)
And put you in a trance (Ah, ah, ah, yeah)

Sometimes it feels like I've got a war in my mind
I want to get off, but I keep ridin' the ride
I never really noticed that I had to decide
To play someone's game or live my own life
And now I do
I wanna move
Out of the black (Out of the black)
Into the blue (Into the blue)
Out of the black (Out of the black)
Into the blue (Into the blue)
Out of the black (Out of the black)
Into the blue (Into the blue)63EmbedShare URLCopyEmbedCopy"
Bryan Adams,Summer of ’69,"I got my first real six string
Bought it at the five and dime
Played it til my fingers bled
Was the summer of '69

Me and some guys from school
Had a band and we tried real hard
Jimmy quit and Jody got married
I shoulda known we'd never get far

But when I look back now
That summer seemed to last forever
And if I had the choice
Ya, I'd always wanna be there
Those were the best days of my life

Ain't no use in complainin'
When you got a job to do
Spent my evenin's down at the drive-in
And that's when I met you, ya

Standin' on your mama's porch
You told me that you'd wait forever
Oh, and when you held my hand
I knew that it was now or never
Those were the best days of my life
Oh Yeah!
Back in the summer of '69
Oh!
Man, we were killin' time
We were young and restless
We needed to unwind
I guess nothin' can last forever
Forever, no...

Yeah!

And now the times are changin'
Look at everything that's come and gone
Sometimes when I play that old six string
I think about ya 'n wonder what went wrong

Standin' on your mama's porch
You told me it would last forever
Oh, the way you held my hand
I knew that it was now or never
Those were the best days of my life

Oh yeah
Back in the summer of '69
Uh-huh
It was the summer of '69
Oh yeah
Me and my baby in a 69
Oh! Oh!
It was the summer, summer, summer of 6928EmbedShare URLCopyEmbedCopy"
Bryan Adams,Heaven,"Oh, thinkin' about our younger years
There was only you and me
We were young and wild and free
Now nothin' can take you away from me
We've been down that road before
But that's over now
You keep me comin' back for more

Baby, you're all that I want
When you're lyin' here in my arms
I'm findin' it hard to believe
We're in Heaven
And love is all that I need
And I found it there in your heart
It isn't too hard to see
We're in Heaven

Oh, once in your life you find someone
Who will turn your world around
Bring you up when you're feelin' down
Yeah, nothin' could change what you mean to me
Oh, there's lots that I could say
But just hold me now
Cause our love will light the way
And baby you're all that I want
When you're lyin' here in my arms
I'm finding it hard to believe
We're in Heaven
Yeah, love is all that I need
And I found it there in your heart
It isn't too hard to see
We're in Heaven, yeah

I've been waitin' for so long
For somethin' to arrive
For love to come along
Now our dreams are comin' true
Through the good times and the bad
Yeah, I'll be standin' there by you

And baby you're all that I want
When you're lyin' here in my arms
I'm findin' it hard to believe
We're in Heaven
And love is all that I need
And I found it there in your heart
It isn't too hard to see
We're in Heaven, Heaven, woah
You're all that I want
You're all that I need17EmbedShare URLCopyEmbedCopy"
Bryan Adams,(Everything I Do) I Do It for You,"Look into my eyes
You will see
What you mean to me
Search your heart
Search your soul
And when you find me there
You'll search no more

Don't tell me
It's not worth tryin' for
You can't tell me
It's not worth dyin' for
You know it's true
Everything I do
I do it for you

Look into your heart
You will find
There's nothin' there to hide
Take me as I am
Take my life
I would give it all
I would sacrifice
Don't tell me
It's not worth fightin' for
I can't help it
There's nothin' I want more
You know it's true
Everything I do
I do it for you

There's no love
Like your love
And no other
Could give more love
There's nowhere
Unless you're there
All the time
All the way, yeah

Look into your heart, babe
Yeah
Oh yeah

Oh, you can't tell me
It's not worth tryin' for
I can't help it
There's nothin' I want more
Yeah, I would fight for you
I'd lie for you
Walk the wire for you
Yeah, I'd die for you
You know it's true
Everything I do
Oh
I do it for you

Everything I do, darling
And we'll see it through
We will see it through
Oh yeah
Yeah!

Search your heart, search your soul
You can't tell me it ain't worth dying for
Oh yeah

I'll be there, yeah, oh
I'll walk the wire for you, yeah
I will die for you
Oh yeah
All the time
I'm going all the way, all the way, yeah
Take me by the hand
Ow17EmbedShare URLCopyEmbedCopy"
Bryan Adams,Have You Ever Really Loved a Woman?,"To really love a woman
To understand her - You gotta know her deep inside
Hear every thought - See every dream
And give her wings when she wants to fly
Then when you find yourself lyin' helpless in her arms
You know you really love a woman

When you love a woman
You tell her that she's really wanted
When you love a woman you tell her that she's the one
'Cause she needs somebody
To tell her that it's gonna last forever
So tell me have you ever really
Really, really ever loved a woman?

To really love a woman - Let her hold you
'Til you know how she needs to be touched
You've gotta breathe her - really taste her
'Til you can feel her in your blood
And when you can see your unborn children in her eyes
You know you really love a woman

When you love a woman
You tell her that she's really wanted
When you love a woman you tell her that she's the one
'Cause she needs somebody
To tell her that you'll always be together
So tell me have you ever really
Really, really ever loved a woman?
Oh - You got to give her some faith - Hold her tight
A little tenderness - gotta treat her right
She will be there for you, takin' good care of you
You really gotta love your woman
Then when you find yourself lyin' helpless in her arms
You know you really love a woman

When you love a woman
You tell her that she's really wanted
When you love a woman you tell her that she's the one
'Cause she needs somebody
To tell her that it's gonna last forever
So tell me have you ever really
Really, really ever loved a woman?

Yeah, just tell me have you ever really
Really, really ever loved a woman?
Oh, just tell me have you ever really
Really, really ever loved a woman?2EmbedShare URLCopyEmbedCopy"
Bryan Adams,Please Forgive Me,"Still feels like our first night together
Feels like the first kiss and it's gettin' better baby
No one can better this
Still holdin' on, you're still the one
First time our eyes met - the same feeling I get
Only feels much stronger - I wanna love you longer
You still turn the fire on

So if you're feelin' lonely, don't
You're the only one I ever want
I only wanna make it good
So if I love you a little more than I should

Please forgive me - I know not what I do
Please forgive me - I can't stop loving you
Don't deny me - this pain I'm going through
Please forgive me - if I need ya like I do
Please believe me - every word I say is true
Please forgive me - I can't stop loving you

Still feels like our best times are together
Feels like the first touch
We're still gettin' closer baby
Can't get close enough
I'm still holdin' on - you're still number one
I remember the smell of your skin
I remember everything
I remember all your moves - I remember you yeah
I remember the night - you know I still do
So if you're feelin' lonely don't
You're the only one I ever want
I only wanna make it good
So if I love you a little more than I should

Please forgive me - I know not what I do
Please forgive me - I can't stop loving you
Don't deny me - this pain I'm going through
Please forgive me - if I need ya like I do
Oh believe me - every word I say is true
Please forgive me - I can't stop loving you

One thing I'm sure of - is the way we make love
The one thing I depend on
Is for us to stay strong
With every word and every breath I'm prayin'
That's why I'm sayin'

Please forgive me - I know not what I do
Please forgive me - I can't stop loving you
Don't deny me - this pain I'm going through
Please forgive me - if I need you like I do
Babe believe me - every word I say is true
Please forgive me - If I can't stop loving you
Never leave me - I don't know what I do
Please forgive me - I can't stop loving you
Can't stop loving you1EmbedShare URLCopyEmbedCopy"
Bryan Adams,Run to You,"She says her love for me could never die
But that'd change if she ever found out about you and I

Oh, but her love is cold
Wouldn't hurt her if she didn't know, cause
When it gets too much
I need to feel your touch

I'm gonna run to you
I'm gonna run to you
Cause when the feeling's right I'm gonna run all night
I'm gonna run to you

She's got a heart of gold, she'd never let me down
But you're the one that always turns me on, you keep me comin' 'round

I know her love is true
But it's so d*mn easy makin' love to you
I got my mind made up
I need to feel your touch
I'm gonna run to you
Yeah, I'm gonna run to you
Cause when the feeling's right I'm gonna stay all night
I'm gonna run to you
Yeah, I'm gonna run to you
Oh, when the feeling's right I'm gonna run all night
I'm gonna run to you

When the feeling's right
Ooohh

Oh, I'm gonna run to you
Yeah, I'm gonna run to you
Cause when the feeling's right I'm gonna stay all night
I'm gonna run to you

Oh, I'm gonna run to you
Yeah, when the feeling's right I'm gonna stay all night
Oh, when the feeling's right now
Oh, yeah, when the feeling's right now
I'm gonna run to you
Oh, oh
Yeah, I'm gonna run to you
Yeah, now
Oh, I'm gonna run to you, run to you
Yeah, I'm gonna run to you1EmbedShare URLCopyEmbedCopy"
Bryan Adams,When You Love Someone,"When you love someone - You'll do anything
You'll do all the crazy things - That you can't explain
You'll shoot the moon - Put out the sun
When you love someone
You'll deny the truth - Believe a lie
There'll be times that you'll believe - You could really fly
But your lonely nights - Have just begun
When you love someone
When you love someone - You'll feel it deep inside
And nothin else - Could ever change your mind
When you want someone - When you need someone
When you love someone
When you love someone - You'll sacrifice
You'd give it everything you got and you won't think twice
You'd risk it all - No matter what may come
When you love someone
You'll shoot the moon - Put out the sun
When you love someoneEmbedShare URLCopyEmbedCopy"
Bryan Adams,Sound the Bugle,"Sound the bugle now
Play it just for me
As the seasons change
Remember how I used to be
Now I can't go on
I can't even start
I've got nothing left
Just an empty heart
I'm a soldier wounded
So I must give up the fight
There's nothing more for me
Lead me away... or leave me lying here
Sound the bugle now
Tell them I don't care
There's not a road I know
That leads to anywhere
Without a light, I fear that I will
Stumble in the dark
Lay right down, decide not to go on
Then from on high
Somewhere in the distance
There's a voice that calls
Remember who you are
If you lose yourself
Your courage soon will follow
So be strong tonight
Remember who you are
You're a soldier now
Fighting in a battle
To be free once more
That's worth fighting for6EmbedShare URLCopyEmbedCopy"
Bryan Adams,When You’re Gone,"(When you're gone!)

I've been wandering around the house all night
Wondering what the hell to do
Yeah, I'm trying to concentrate but
All I can think of is you

Well, the phone don't ring cause my friends ain't home
I'm tired of being all alone
Got the TV on cause the radio's playing
Songs that remind me of you

Baby, when you're gone
I realize I'm in love
Days go on and on
And the nights just seem so long
Even food don't taste that good
Drink ain't doing what it should
Things just feel so wrong
Baby, when you're gone
Yeah
I've been driving up and down these streets
Trying to find somewhere to go
Yeah, I'm looking for a familiar face
But there's no one I know

Oh, this is torture, this is pain
It feels like I'm gonna go insane
I hope you're coming back real soon
Cause I don't know what to do

Baby, when you're gone (When you're gone)
I realize I'm in love
Days go on and on (On and on)
And the nights just seem so long
Even food don't taste that good
Drink ain't doing what it should
Things just feel so wrong
Oh yeah
Baby, when you're gone

Oh, baby, when you're gone
Oh, baby, when you're gone (When you're gone)
I realize I'm in love (You're in love)
Days go on and on
And the nights just seem so long
Even food don't taste that good (Ohh)
Drink ain't doing what it should
Ah, things just feel so wrong (So wrong)
Baby, when you're gone (Yeah, you're gone)

Oh, baby, when you're gone
Yeah, baby, when you're goneEmbedShare URLCopyEmbedCopy"
Bryan Adams,Here I Am,"Here I am, this is me
I come into this world so wild and free
Here I am, so young and strong
Right here in the place where I belong

It's a new world, it's a new start
It's alive with the beating of a young heart
It's a new day in a new land
And it's waiting for me
Here I am

Oh, it's a new world, it's a new start
It's alive with the beating of a young heart
Yeah, it's a new day in a new land
And it's waiting for me
Here I am
4EmbedShare URLCopyEmbedCopy"
Bryan Adams,Please Stay,"We shared a special moment
I think you felt it too
I know you wanted more but
Right now this is the best that I can do
If I give it too little too late
How was I to know?
I don't wanna give you up
No, I don't wanna let you go

So please stay
I just need a little time
And a little help to find
All the words to say
Please stay
Before you're walking out the door
I know you want more
So give me one more day
Please stay

You were looking after you
I was looking after me
Sometimes it's hard to know the difference
Between what we want and what we need
I might not settle the right things
But I know the way I feel
So give me one more chance
Maybe we can make this real
Please stay
Don't wanna hear you say goodbye
'Cause there's a million reasons why
We shouldn't let it end this way
Please stay
I don't wanna see you go
I need to let you know
Somethings are hard to say
Please stay

Please stay
Don't wanna walk away
Please stay
We shouldn't let it end this way
I know you wanted more
So give me one more day
Please stayEmbedShare URLCopyEmbedCopy"
Bryan Adams,All For Love,"When it's love you give
I'll be a man of good faith
Then in love you'll live
I'll make a stand, I won't break
I'll be the rock you can build on
Be there when you're old
To have and to hold

When there's love inside
I swear I'll always be strong
Then there's a reason why
I'll prove to you we belong
I'll be the wall that protects you
From the wind and the rain
From the hurt and pain

Let's make it all for one and all for love
Let the one you hold, be the one you want
The one you need
Cause when it's all for one, it's one for all
When there's someone that should know
Then just let your feelings show
And make it all for one and all for love
When it's love you make
I'll be the fire in your night
And when it's love you take
I will defend, I will fight
I'll be there when you need me
When honor's at stake
This vow I will make

That it's all for one and all for love
Let the one you hold, be the one you want
The one you need
Cause when it's all for one, it's one for all
When there's someone that should know
Then just let your feelings show
And make it all for one and all for love

Don't lay our love to rest
Cause we could stand up to the test
We got everything, and more
Then we had planned
More than the rivers that run the land
We've got it all, in our hands
Now it's all for one and all for love
Let the one you hold, be the one you want
The one you need
Cause when it's all for one, it's one for all
When there's someone that should know
Then just let your feelings show
When there's someone that you want
When there's someone that you need
Let's make it all, all for one and all for loveEmbedShare URLCopyEmbedCopy"
Bryan Adams,Straight from the Heart,"I could start dreamin' but it never ends
As long as you're gone we may as well pretend
I've been dreamin'
Straight from the heart

You say it's easy but who's to say
That we'd be able to keep it this way
But it's easier
Comin' straight from the heart

Oh, give it to me straight from the heart
Tell me we can make another start
You know I'll never go - as long as I know
It's comin' straight from the heart

I see you on the street some other time
And all my words would just fall out of line
While we're dreamin'
Straight from the heart

Oh, give it to me straight from the heart
Tell me we can make one more start
You know I'll never go - as long as I know
It's comin' straight from the heart
Oh
Don't ever leave me darlin'

Oh, straight from the heart
Tell me we can make one more start
You know I'll never go- as long as I know
You'll give it to me now
Straight from the heart
Tell me we can make one more start
You know I'll never go-as long as I know
It's coming straight from the heart
Give it to me
Oh no, oh no
Straight from the heart
You know I'll never go-as long as I know
It's coming straight from the heartEmbedShare URLCopyEmbedCopy"
Bryan Adams,Empty Spaces/What Shall We Do Now?,"What shall we use
To fill the empty Spaces
Where waves of hunger roar
Shall we set out across this sea of faces
In search of more and more applause
Shall we buy a new guitar
Shall we drive a more powerful car
Shall we work straight through the night
Shall we get into fights
Leave the lights on
Drop bombs
Do tours of the East
Contract diseases
Bury bones
Break up homes
Send flowers by phone
Take to drink
Go to shrinks
Give up meat
Rarely sleep
Keep people as pets
Train dogs
Race rats
Fill the attic with cash
Bury treasure
Store up leisure
But never relax at all
With our backs to the wallEmbedShare URLCopyEmbedCopy"
Bryan Adams,Shine a Light,"You were born in a small town
Always had dreams bigger than your brother, you know it
Hit the road where it forks down
Made good decisions, start from the gutter, you know it
Big city lives, fast lane living but
You never forgot your roots, oh ooh
Back in town, daddy's advice
Baby don’t forget that you
Shine a light, shine a light, shine a light
Shine a light, shine a light
Everywhere you go
Shine a light, shine a light, shine a light
Shine a light, shine a light
Everyone you know
Shine a light
Shine a light
You've struggled before now
Each time you made out the other side
Pick yourself up when you fall down
Stand tall and never be afraid to cry
Big city life, same thing, different town
Darling don't forget your roots, well
Back in town, momma’s advice
Baby don't forget that you
Shine a light, shine a light, shine a light
Shine a light, shine a light
Everywhere you go
Shine a light, shine a light, shine a light
Shine a light, shine a light
With everyone you know
Shine a light, yeah
Shine a light
People love and people cry
People live and people die
And I'll never meet another life like you
Every day and every night
Teaching you wrong from right
Now you get to shine a light don't you, don't you
Shine a light, shine a light, shine a light
Shine a light, shine a light
Everywhere you go
Shine a light, shine a light, shine a light
Shine a light, shine a light
Let everybody know
Shine a light, shine a light, shine a light
Shine a light, shine a light
Everywhere you go
Shine a light, shine a light, shine a light
Shine a light, shine a light
With everyone you know
Shine a light
Shine a light
Hey
You were born in a small town1EmbedShare URLCopyEmbedCopy"
Bryan Adams,I Finally Found Someone,"I finally found someone
That knocks me off my feet
I finally found the one
That makes me feel complete
It started over coffee
We stated out as friends
It's funny how from simple things
The best things begin
This time is different
And it's all because of you
It's better than it's ever been
'Cause we can talk it though
My favorite line was
""Can I call you sometime?""
It's all you had to say
To take my breath away
This is it
Oh, I finally found someone
Someone to share my life
I finally found the one
To be with every night
'Cause whatever I do
It's just got to be you
My life has just begun
I finally found someone
Did I keep you waiting?
I didn't mind
I apologize, baby that's fine
I would wait forever just to know you were mine
You know I love your hair
Are you sure it looks right?
I love what you wear
Isn't it too tight?
You're exceptional
I can't wait for the rest of my life
This is it
Oh, I finally found someone
Someone to share my life
I finally found the one
To be with every night
'Cause whatever I do
It's just got to be you
My life has just begun
I finally found someone
And whatever I do
It's just got to be you
My life has just begun
I finally found someoneEmbedShare URLCopyEmbedCopy"
Bryan Adams,You Can’t Take Me,"Got to fight another fight, I gotta run another night
Get it out, check it out
I'm on my way and it don't feel right
I gotta get me back, I can't be beat and that's a fact
It's OK, I'll find a way
You ain't gonna take me down no way
Don't judge a thing until you know what's inside it
Don't push me, I'll fight it
Never gonna give in, never gonna give it up no
If you can't catch a wave then you're never gonna ride it
You can't come uninvited
Never gonna give in, never gonna give it up no
You can't take me I'm free
Why did it all go wrong ? I wanna know what's goin'on
And what's this holding me?
I'm not where I'm supposed to be
I gotta fight another fight
I gotta fight with all my might
I'm getting out, so check it out
Ya - you're in my way
So you better watch out
Don't judge a thing until you know what's inside it
Don't push me, I'll fight it
Never gonna give in, never gonna give it up no
If you can't catch a wave then you're never gonna ride it
You can't come uninvited
Never gonna give in, never gonna give it up no
You can't take me I'm free
I'm, I'm free5EmbedShare URLCopyEmbedCopy"
Bryan Adams,When You Really Love A Woman,"To really love a woman, to understand her
You've got to know her deep inside
Hear every thought, see every dream
And give her wings when she wants to fly
Then when you find yourself
Lying helpless in her arms
You know you really love a woman
When you love a woman
You tell her that she's really wanted
When you love a woman
You tell her that she's the one
She needs somebody to tell her
That it's gonna last forever
So tell me have you ever really
Really, really ever loved a woman?
To really love a woman, let her hold you
Till you know how she needs to be touched
You've got to breathe her, really taste her
Till you can feel her in your blood
And when you see
Your unborn children in her eyes
You know you really love a woman
When you love a woman
You tell her that she's really wanted
When you love a woman
You tell her that she's the one
She needs somebody to tell her
That it's gonna last forever
So tell me have you ever really
Really, really ever loved a woman?
You've got to give her some faith, hold her tight
A little tenderness, you've got to treat her right
She will be there for you taking good care of you
You really gotta love your woman
And when you find yourself
Lying helpless in her arms
You know you really love a woman
When you love a woman
You tell her that she's really wanted
When you love a woman
You tell her that she's the one
She needs somebody to tell her
That it's gonna last forever
So tell me have you ever really
Really, really ever loved a woman?
Just tell me have you ever really
Really, really ever loved a woman?
Just tell me have you ever really
Really, really ever loved a woman?EmbedShare URLCopyEmbedCopy"
Bryan Adams,It’s Only Love,"When the feelin' is ended
There ain't no use pretendin'
Don't ya worry - it's only love
When your world has been shattered
Ain't nothin' else matters
It ain't over - it's only love
And that's all - yeah
When your heart has been broken
Hard words have been spoken
It ain't easy - but it's only love
And if your life ain't worth livin'
And you're ready to give in
Just remember - that it's only love
You can live without the aggravation
Ya gotta wanna win - ya gotta wanna win
You keep lookin' back in desperation
Over and over and over again
Yeah - oh yeah
It's only love - Baby
Oh baby babe - it's only love, love, love
Love, Love, love
When your world is shattered
Ain't nothin' else matters
It ain't over - it's only love
If your life ain't worth livin'
And you're ready to give in
Just remember - that it's only love
Ya - that's all
Ya it ain't easy baby
But it's only love - and that's all1EmbedShare URLCopyEmbedCopy"
Bryan Adams,Cuts Like a Knife,"Drivin' home this evening
I coulda sworn we had it all worked out
You had this boy believin'
Way beyond the shadow of a doubt, yeah
Well I heard it on the street
I heard you might of found somebody new yeah
Well who is he baby who is he
And tell me what he means to you oh yeah
I took it all for granted
But how was I to know
That you'd be letting go
Now it cuts like a knife
But it feels so right
Yeah! It cuts like a knife
Oh, but it feels so right
There's times I've been mistaken
There's times I thought I'd been misunderstood - ooh yeah
So wait a minute darlin'
Can't you see we did the best we could ooh we could
This wouldn't be the first time
Things have gone astray
Now you've thrown it all away
Now it cuts like a knife yeah
But It feels so right
Oh! It cuts like a knife
Yeah! But it feels so right
Oh! It cuts like a knife!
But if feels so right baby!
Oh! It cuts like a knife!
Yeeah! Hey!
I took it all for granted
But how was I to know
That you'd be letting go
Now it cuts like a knife yeah
But It feels so right
Oh. Now it cuts like a knife
Yeah But it feels so right Yeeah!
Oh, it cuts like a knife
Ooh yeah yeah
But it feels so right baby
Ooh yeah
It cuts like a knife
Now give it to me now
Yeah yeah, come on boys, ow
Feels so right, yeah yeah yeah
Nananananana hey!
Now it cuts like knife now
But it feels so right, yeah yeah
Feels so right baby
Na na yeah, it feels so right
And it cuts like a knife
Yeah yeah
Feels so right baby1EmbedShare URLCopyEmbedCopy"
Bryan Adams,Christmas Time,"We waited all through the year
For the day to appear
When we could be together in harmony
You know the time will come
Peace on earth for everyone
And we can live forever in a world where we are free
Let it shine for you and me
There's something about Christmas time
Something about Christmas time
That makes you wish it was Christmas everyday
To see the joy in the children's eyes
The way that the old folks smile
Says that Christmas will never go away
We're all as one tonight
Makes no difference if you're black or white
'cause we can sing together in harmony
I know it's not too late
The world would be a better place
If we can keep the spirit more than one day in the year
Send a message loud and clear
It's the time of year when everyone's together
We'll celebrate here on Christmas day
When the ones you love are there
You can feel the magic in the air - you know it's everywhere
There's something about Christmas time
Something about Christmas time
That makes you wish it was Christmas every day
To see the joy in the children's eyes
The way that the old folks smile
Says that Christmas will never go away
It's the time of year when everyone's together
We'll celebrate here on Christmas day
When the ones you love are there
You can feel the magic in the air - you know it's everywhere
There's something about Christmas time
Something about Christmas time
That makes you wish it was Christmas every day
Please tell me Christmas will never go awayEmbedShare URLCopyEmbedCopy"
Bryan Adams,I Will Always Return (Finale),"I hear the wind call my name
The sound that leads me home again
It sparks up the fire, a flame that still burns
To you I will always return
I know the road is long but where you are is home
Wherever you stay, I'll find the way
I'll run like the river, I'll follow the sun
I fly like an eagle to where I belong
I can't stand the distance, I can't dream alone
I can't wait to see you, yes, I'm on my way home
And now I know it's true
My every road leads to you
And in the hour of darkness
Your light gets me through
You run like the river, you shine like the sun (Yeah!)
You fly like an eagle
Yeah, you are the one
I've seen every sunset
And with all that I've learned
Oh, it's to you I will always, always returnEmbedShare URLCopyEmbedCopy"
Bryan Adams,Somebody,"I've been lookin' for someone
Between the fire and the flame
We're all lookin' for somethin'
To ease the pain

Now who can you turn to
When it's all black and white
And the winners are losers
You see it every night
Oh yeah!

I need somebody
(Somebody like you)
Everybody needs somebody
I need somebody
(Hey, what about you)
Everybody needs somebody, oh

When you're out on the front line
And you're watchin' them fall
It doesn't take long to realize
It ain't worth fightin' for
I thought I saw the Madonna
When you walked in the room
Well, your eyes were like diamonds
And they cut right through
Oh, they cut right through

I need somebody
(Somebody like you)
Everybody needs somebody (Oh yeah)
I need somebody
(Hey, what about you)
We all need somebody (Hey)


(Yeah)
Another night another lesson learned
It's the distance keeps us sane
But when the silence leads to sorrow
We do it all again, all again
(Yeah)

I need somebody
(Somebody like you)
Everybody needs somebody (Oh yeah)
I need somebody
(Oh, what about you)
Everybody needs somebody (Hey)
I need somebody
(Somebody like you)
Everybody needs somebody
(I need somebody)
I need somebody
(Yeah, what about you, yeah)
We all need somebody (Hey, go on)
I need somebody
Everybody needs somebody
I need somebody (Hey)
Everybody needs somebody1EmbedShare URLCopyEmbedCopy"
Bryan Adams,Diana,"The first time I saw you - was in a magazine
The next time was you was walkin' 'cross my television screen
I knew right there that I had to make you mine
The day that you married him - I nearly lost my mind
Chorus
Diana - What cha doin' with a guy like him
Diana - I'd die for you please let me in
Diana - Can't you see you drive me wild
Diana - I'll bet you're just a reckless child!
So you've got it made;
I've seen you promenade a time or two
He might have lots of dough;
But I know he ain't right for you
Well I've watched you smile n' shakin hands;
When you're doin' your social scene
But you wouldn't have to do that;
If you came and lived with me - oh yeah!
Chorus
Diana - I just can't get you off of my mind
Diana - Why don't ya leave it all behind?
Diana - She's the queen of all my dreams
Diana - Give me a chance - I'll set ya free!
Since I saw that picture of ya;
Nothin' matters - I just wanna love ya;
We can make it you and me;
So come on baby - come on baby
So here's how I see it...
You got one choice - you can get away;
Leave it up to me;
I'll bring the ladder - if you bring your limousine!
You really got a hold on me
Gimme a chance - I'll set you free!EmbedShare URLCopyEmbedCopy"
